iter	RMSE
0	83.08167203
1	75.92814997
2	69.87772996
3	64.12401034
4	58.50749269
5	53.52352496
6	49.05687866
7	45.11580025
8	41.30923455
9	37.75655915
10	34.59183988
11	31.54011574
12	29.07849185
13	26.71150329
14	24.56654169
15	22.58787032
16	20.80836555
17	19.18009267
18	17.75675331
19	16.34859772
20	15.05633535
21	13.92832249
22	12.95229753
23	12.06336507
24	11.24249809
25	10.42397924
26	9.752131715
27	9.112303153
28	8.54873734
29	8.036814975
30	7.576847605
31	7.140179303
32	6.725987319
33	6.388778161
34	6.062357566
35	5.758736175
36	5.508722003
37	5.269624521
38	5.037403543
39	4.821897177
40	4.609507418
41	4.418423788
42	4.272863248
43	4.115865471
44	3.959776355
45	3.834016967
46	3.725752681
47	3.620276479
48	3.548757831
49	3.436799493
50	3.331150379
51	3.271974695
52	3.188894228
53	3.122070696
54	3.055564824
55	3.003792339
56	2.930626955
57	2.876228729
58	2.829412599
59	2.767415272
60	2.699890181
61	2.6517018
62	2.606763682
63	2.549960359
64	2.498617004
65	2.447555651
66	2.415660452
67	2.384908493
68	2.351706282
69	2.296331331
70	2.242278613
71	2.208542909
72	2.168634117
73	2.122262909
74	2.080757108
75	2.048058893
76	2.018668097
77	1.973936645
78	1.939281038
79	1.917999653
80	1.890692747
81	1.861468742
82	1.827228578
83	1.806109231
84	1.76693503
85	1.742042414
86	1.731031046
87	1.702247737
88	1.684093784
89	1.67572115
90	1.656312521
91	1.625985019
92	1.619623032
93	1.611083308
94	1.584452009
95	1.56931123
96	1.551822694
97	1.529430915
98	1.522147261
99	1.505808442
