iter	Passed	Remaining
0	5	499
1	10	490
2	14	483
3	19	479
4	20	382
5	25	392
6	30	400
7	35	402
8	35	359
9	35	323
10	38	311
11	38	284
12	43	292
13	48	299
14	53	304
15	54	286
16	59	290
17	60	273
18	61	262
19	62	249
20	67	253
21	72	256
22	77	258
23	77	245
24	82	247
25	83	237
26	88	238
27	93	239
28	98	240
29	103	240
30	108	240
31	112	240
32	113	230
33	118	229
34	119	222
35	124	221
36	129	220
37	129	212
38	134	210
39	135	203
40	141	203
41	143	197
42	145	193
43	150	192
44	156	190
45	161	189
46	166	187
47	171	185
48	172	179
49	177	177
50	183	175
51	183	169
52	188	167
53	189	161
54	195	159
55	200	157
56	205	155
57	210	152
58	211	147
59	216	144
60	221	141
61	228	139
62	233	137
63	238	134
64	243	131
65	248	128
66	253	124
67	256	120
68	261	117
69	266	114
70	271	111
71	276	107
72	281	104
73	287	100
74	292	97
75	297	93
76	302	90
77	307	86
78	312	83
79	317	79
80	325	76
81	330	72
82	336	68
83	341	65
84	346	61
85	351	57
86	356	53
87	361	49
88	367	45
89	372	41
90	377	37
91	382	33
92	383	28
93	384	24
94	389	20
95	394	16
96	399	12
97	404	8
98	409	4
99	414	0
